event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_core_cpu-cycles_,med,cpu_core_cpu-cycles__med,0.3378,0.3378,弱相关,0.0,极显著,3.0941,高差异,209.405,125544868.5084,388442118.2157,0.773,中等效应,0.0,显著
cpu_core_dTLB-load-misses_,mean,cpu_core_dTLB-load-misses__mean,-0.0026,0.0026,弱相关,0.899682,不显著,0.9947,低差异,-0.5291,454830.4543,452423.9877,-0.0057,小效应,0.899682,不显著
cpu_core_dTLB-load-misses_,std,cpu_core_dTLB-load-misses__std,-0.5537,0.5537,中等相关,0.0,极显著,0.4759,低差异,-52.4075,687612.4765,327252.2542,-1.4323,大效应,0.0,显著
cpu_core_dTLB-load-misses_,max,cpu_core_dTLB-load-misses__max,-0.4943,0.4943,中等相关,0.0,极显著,0.5672,低差异,-43.2839,3292868.5196,1867586.6972,-1.2251,大效应,0.0,显著
cpu_core_dTLB-load-misses_,med,cpu_core_dTLB-load-misses__med,0.281,0.281,弱相关,0.0,极显著,3.3512,高差异,235.1165,110703.4006,370985.3316,0.6306,中等效应,0.0,显著
cpu_core_dTLB-loads_,mean,cpu_core_dTLB-loads__mean,0.1312,0.1312,弱相关,0.0,显著,1.4584,低差异,45.8367,100659062.5206,146797808.7179,0.2851,小效应,0.0,显著
cpu_core_dTLB-loads_,std,cpu_core_dTLB-loads__std,-0.1752,0.1752,弱相关,0.0,极显著,0.7228,低差异,-27.72,128788828.4409,93088527.8853,-0.3833,小效应,0.0,显著
cpu_core_dTLB-loads_,max,cpu_core_dTLB-loads__max,-0.1499,0.1499,弱相关,0.0,极显著,0.7707,低差异,-22.9292,577141514.6204,444807523.3534,-0.3267,小效应,0.0,显著
cpu_core_dTLB-loads_,med,cpu_core_dTLB-loads__med,0.228,0.228,弱相关,0.0,极显著,3.0116,高差异,201.1636,41831600.8978,125981573.2106,0.5045,中等效应,0.0,显著
cpu_core_dTLB-store-misses_,mean,cpu_core_dTLB-store-misses__mean,0.1199,0.1199,弱相关,0.0,显著,1.5483,中等差异,54.8286,82557.7958,127823.0428,0.2602,小效应,0.0,显著
cpu_core_dTLB-store-misses_,std,cpu_core_dTLB-store-misses__std,-0.1598,0.1598,弱相关,0.0,极显著,0.7337,低差异,-26.6316,116567.9094,85524.0401,-0.3486,小效应,0.0,显著
cpu_core_dTLB-store-misses_,max,cpu_core_dTLB-store-misses__max,-0.0898,0.0898,弱相关,1.8e-05,显著,0.8439,低差异,-15.6118,558509.2647,471316.0928,-0.1942,小效应,2.1295774647887325e-05,显著
